frame,face_id,x,y,w,h,neutral,surprise,fear,disgust,angry,happy,sad
0,0,84,118,131,139,1.0,0.12376257934018477,0.346997225412477,0.43797494114460356,0.3822372866361215,0.14498012866366297,0.3578805362735822
1,0,95,113,138,131,0.6972654765892983,0.1260975112691827,0.0,0.1561974914545055,0.2351313661018959,0.2218148759159746,0.45227773731307447
2,0,82,109,177,128,0.2937285084090425,0.14984910836960627,0.14329837765616096,0.043104706606033466,0.2892478682529162,0.0,0.20844982948818655
3,0,87,95,135,147,1.0,0.3727996721144683,0.0,0.0,0.055457972219141144,0.27352817637165744,0.0
4,0,90,110,131,141,0.8241437384065022,0.11167286956853567,0.0,0.4576649369485869,0.4153894593930492,0.0,0.3858169405291473
